Date,Category,Forecast,Actual,Lead Time,Start Inv,Production,End Inv,Logic/Driver
2022-01-01,Electronics,1200,1150,14,2000,1250,2100,Policy-based
2022-02-01,Electronics,1150,1250,14,2100,1200,2050,Policy-based
2022-03-01,Electronics,1300,1400,15,2050,1350,2000,Buffer Build
2022-04-01,Electronics,1250,1600,14,2000,1300,1700,Supply Lag
2022-05-01,Electronics,1400,1900,16,1700,1450,1250,High Sales
2022-06-01,Electronics,1600,1800,14,1250,2100,1550,Recovery
2022-07-01,Electronics,1900,1850,18,1550,1950,1650,Refilling
2022-08-01,Electronics,1500,1400,14,1650,1550,1800,Stabilizing
2022-09-01,Electronics,1450,1400,14,1800,1500,1900,Holding
2022-10-01,Electronics,1800,1950,15,1900,1900,1850,Pre-Holiday
2022-11-01,Electronics,2800,3100,22,1850,3200,1950,Black Friday
2022-12-01,Electronics,3500,3400,25,1950,3500,2050,Holiday Peak
2023-01-01,Electronics,1300,1200,14,2050,1400,2250,Inv Correction
2023-02-01,Electronics,1200,1100,14,2250,1250,2400,Policy-based
2023-03-01,Electronics,1450,1300,15,2400,1500,2600,Buffer Build
2023-04-01,Electronics,1350,1450,14,2600,1400,2550,Minor Drift
2023-05-01,Electronics,1500,1800,16,2550,1600,2350,Forecast Gap
2023-06-01,Electronics,1700,2000,14,2350,2500,2850,Recovery
2023-07-01,Electronics,2000,1900,18,2850,2050,3000,Policy-based
2023-08-01,Electronics,1600,1500,14,3000,1650,3150,Cooling
2023-09-01,Electronics,1550,1500,14,3150,1600,3250,Quiet
2023-10-01,Electronics,1900,2400,15,3250,2500,3350,Tech Launch
2023-11-01,Electronics,3000,3800,22,3350,4000,3550,Peak Demand
2023-12-01,Electronics,3700,3900,25,3550,3800,3450,Peak Fulfilled
2022-01-01,Basics,2000,2100,7,1500,2100,1500,Forecast-match
2022-02-01,Basics,2100,2050,7,1500,2150,1600,Stable
2022-03-01,Basics,1950,2200,8,1600,2000,1400,Demand Surge
2022-04-01,Basics,2050,2100,7,1400,2100,1400,Forecast-match
2022-05-01,Basics,2000,2000,7,1400,2050,1450,Policy-based
2022-06-01,Basics,500,1200,25,1450,600,850,Forecast Error
2022-07-01,Basics,2050,2100,7,850,2300,1050,Chasing Demand
2022-08-01,Basics,2100,2150,7,1050,2150,1050,Tight Inv
2022-09-01,Basics,1980,1900,7,1050,2000,1150,Holding
2022-10-01,Basics,2020,2050,7,1150,2050,1150,High Turnover
2022-11-01,Basics,2050,2100,7,1150,2100,1150,Steady
2022-12-01,Basics,2100,2150,7,1150,2150,1150,Year-End
2023-01-01,Basics,2000,2100,7,1150,2100,1150,High Demand
2023-02-01,Basics,2150,2200,7,1150,2200,1150,Steady Flow
2023-03-01,Basics,2000,2500,8,1150,2400,1050,Surge
2023-04-01,Basics,2100,2450,7,1050,2500,1100,High Sales
2023-05-01,Basics,2050,2300,7,1100,2400,1200,High Sales
2023-06-01,Basics,550,1200,25,1200,1500,1500,Large Error
2023-07-01,Basics,2100,2400,7,1500,2500,1600,Refilling
2023-08-01,Basics,2150,2600,7,1600,2200,1200,High Peak
2023-09-01,Basics,2000,2350,7,1200,2400,1250,Stable
2023-10-01,Basics,2050,2500,7,1250,2600,1350,High Sales
2023-11-01,Basics,2100,2700,7,1350,2800,1450,Holiday Demand
2023-12-01,Basics,2150,2900,7,1450,2900,1450,Year-End
2022-01-01,Office,500,450,30,800,550,900,Safety Stock
2022-02-01,Office,520,500,30,900,550,950,Stable
2022-03-01,Office,510,550,30,950,550,950,Policy-based
2022-04-01,Office,900,850,30,950,950,1050,Spring Promo
2022-05-01,Office,530,600,30,1050,550,1000,Promo Hangover
2022-06-01,Office,540,550,30,1000,550,1000,Flat
2022-07-01,Office,550,600,30,1000,600,1000,Steady
2022-08-01,Office,900,850,30,1000,900,1050,Peak (School)
2022-09-01,Office,540,500,30,1050,500,1050,Post-Peak
2022-10-01,Office,950,1000,30,1050,1000,1050,Tax Year Spike
2022-11-01,Office,580,600,30,1050,600,1050,Steady
2022-12-01,Office,590,650,30,1050,650,1050,Steady
2023-01-01,Office,520,580,30,1050,550,1020,Post-Holiday
2023-02-01,Office,540,620,30,1020,550,950,Stable
2023-03-01,Office,530,600,30,950,550,900,Policy-based
2023-04-01,Office,920,1200,30,900,1200,900,Spring Peak
2023-05-01,Office,550,750,30,900,700,850,Promo Tail
2023-06-01,Office,560,650,30,850,700,900,Stable
2023-07-01,Office,570,800,30,900,800,900,Steady
2023-08-01,Office,580,1500,30,900,1500,900,Back-to-Work
2023-09-01,Office,560,700,30,900,700,900,Stable
2023-10-01,Office,980,1300,30,900,1300,900,Year-End Refresh
2023-11-01,Office,600,850,30,900,850,900,Holiday Gifting
2023-12-01,Office,610,900,30,900,900,900,Year-End
