Product_ID,Product_Name,Supplier_Region,Supplier_Id,Lead_Time_Days,Order_Volume_Units,Cost_per_Unit,Supply_Risk_Score,Profit_Impact_Score,Environmental_Impact,Single_Source_Risk
P001,Semiconductors,South America,Semiconductors_South America,81,171,255.03,5,5,4,0
P002,Semiconductors,South America,Semiconductors_South America,8,763,380.33,5,4,4,0
P003,Pharma APIs,Asia,Pharma APIs_Asia,65,413,385.24,4,5,5,0
P004,Semiconductors,South America,Semiconductors_South America,70,882,287.64,5,5,5,0
P005,Lithium Batteries,Asia,Lithium Batteries_Asia,15,120,382.26,4,4,4,0
P006,AI Chips,Asia,AI Chips_Asia,84,466,405.27,5,5,5,0
P007,Lithium Batteries,South America,Lithium Batteries_South America,69,101,398.76,5,4,5,0
P008,AI Chips,South America,AI Chips_South America,68,369,481.85,5,4,4,0
P009,Pharma APIs,Asia,Pharma APIs_Asia,35,978,424.2,3,4,4,0
P010,Semiconductors,Africa,Semiconductors_Africa,87,620,204.69,5,5,5,0
P011,Pharma APIs,Asia,Pharma APIs_Asia,78,872,431.38,5,3,5,0
P012,Pharma APIs,Africa,Pharma APIs_Africa,41,506,219.07,5,5,5,0
P013,Lithium Batteries,Africa,Lithium Batteries_Africa,33,742,491.51,5,4,4,0
P014,Lithium Batteries,Africa,Lithium Batteries_Africa,10,991,233.27,3,3,4,0
P015,AI Chips,Asia,AI Chips_Asia,34,754,381.33,5,5,4,0
P016,AI Chips,South America,AI Chips_South America,68,745,288.69,5,5,5,0
P017,Lithium Batteries,Africa,Lithium Batteries_Africa,78,732,394.31,5,4,5,0
P018,Semiconductors,Africa,Semiconductors_Africa,38,918,266.63,5,5,5,0
P019,Pharma APIs,South America,Pharma APIs_South America,9,929,321.15,5,4,4,0
P020,Lithium Batteries,South America,Lithium Batteries_South America,7,798,499.32,5,3,4,0
P021,Semiconductors,Africa,Semiconductors_Africa,62,829,359.28,5,5,5,0
P022,Semiconductors,South America,Semiconductors_South America,22,936,440.94,5,5,5,0
P023,Lithium Batteries,Africa,Lithium Batteries_Africa,73,563,352.46,5,5,4,0
P024,Semiconductors,Africa,Semiconductors_Africa,17,919,393.55,4,4,4,0
P025,Pharma APIs,Africa,Pharma APIs_Africa,66,514,262.72,4,3,5,0
P026,Lithium Batteries,Africa,Lithium Batteries_Africa,25,751,227.93,5,3,4,0
P027,Pharma APIs,Africa,Pharma APIs_Africa,31,153,456.9,4,4,5,0
P028,Lithium Batteries,Asia,Lithium Batteries_Asia,74,805,291.61,4,4,5,0
P029,Lithium Batteries,Africa,Lithium Batteries_Africa,54,603,253.65,4,3,5,0
P030,Pharma APIs,South America,Pharma APIs_South America,60,121,390.9,3,5,5,0
P031,Pharma APIs,Asia,Pharma APIs_Asia,54,897,438.44,3,3,4,0
P032,Semiconductors,South America,Semiconductors_South America,12,611,430.57,4,4,4,0
P033,Semiconductors,Africa,Semiconductors_Africa,69,448,485.92,5,3,4,0
P034,Lithium Batteries,Asia,Lithium Batteries_Asia,60,355,455.34,4,5,4,0
P035,AI Chips,Africa,AI Chips_Africa,33,725,221.12,4,5,5,0
